 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  2.80  3.50 1.50  0.50  1.00  1.00  0.25  0.50 143.0 162.0  1.00  1.00  0.10  200 quiet
  3.30  3.50 1.50  0.50  1.00  1.00  0.25  0.50 143.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.60  3.80 1.50  0.50  1.00  1.00  0.25  0.50 127.0   0.0  1.00  1.00  0.10  200 quiet
  3.30  3.60 1.50  0.50  1.00  1.00  0.25  0.50 127.0  18.0  1.00  1.00  0.10  200 quiet
  3.50  3.80 1.50  0.50  1.00  1.00  0.25  0.50 127.0  36.0  1.00  1.00  0.10  200 quiet
  3.50  4.10 1.50  0.50  1.00  1.00  0.25  0.50 127.0  54.0  1.00  1.00  0.10  200 quiet
  3.40  3.60 1.50  0.50  1.00  1.00  0.25  0.50 127.0  72.0  1.00  1.00  0.10  200 quiet
  3.40  3.60 1.50  0.50  1.00  1.00  0.25  0.50 127.0  90.0  1.00  1.00  0.10  200 quiet
  3.40  3.70 1.50  0.50  1.00  1.00  0.25  0.50 127.0 108.0  1.00  1.00  0.10  200 quiet
  3.80  4.00 1.50  0.50  1.00  1.00  0.25  0.50 127.0 126.0  1.00  1.00  0.10  200 quiet
  5.70  5.70 1.50  0.50  1.00  1.00  0.25  0.50 127.0 144.0  1.00  1.00  0.10  200 quiet
  5.20  6.30 1.50  0.50  1.00  1.00  0.25  0.50 127.0 162.0  1.00  1.00  0.10  200 quiet
  4.70  5.30 1.50  0.50  1.00  1.00  0.25  0.50 127.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.70  3.70 1.50  0.50  1.00  1.00  0.25  0.50 114.0   0.0  1.00  1.00  0.10  200 quiet
  3.70  3.70 1.50  0.50  1.00  1.00  0.25  0.50 114.0  18.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  1.00  1.00  0.25  0.50 114.0  36.0  1.00  1.00  0.10  200 quiet
  3.60  4.10 1.50  0.50  1.00  1.00  0.25  0.50 114.0  54.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.50  0.50  1.00  1.00  0.25  0.50 114.0  72.0  1.00  1.00  0.10  200 quiet
  3.60  4.00 1.50  0.50  1.00  1.00  0.25  0.50 114.0  90.0  1.00  1.00  0.10  200 quiet
  3.70  4.00 1.50  0.50  1.00  1.00  0.25  0.50 114.0 108.0  1.00  1.00  0.10  200 quiet
  3.70  4.00 1.50  0.50  1.00  1.00  0.25  0.50 114.0 126.0  1.00  1.00  0.10  200 quiet
  3.20  4.60 1.50  0.50  1.00  1.00  0.25  0.50 114.0 144.0  1.00  1.00  0.10  200 quiet
  4.70  4.70 1.50  0.50  1.00  1.00  0.25  0.50 114.0 162.0  1.00  1.00  0.10  200 quiet
  5.10  5.10 1.50  0.50  1.00  1.00  0.25  0.50 114.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.00  3.80 1.50  0.50  1.00  1.00  0.25  0.50 102.0   0.0  1.00  1.00  0.10  200 quiet
  3.70  3.70 1.50  0.50  1.00  1.00  0.25  0.50 102.0  18.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.50  0.50  1.00  1.00  0.25  0.50 102.0  36.0  1.00  1.00  0.10  200 quiet
  3.50  4.10 1.50  0.50  1.00  1.00  0.25  0.50 102.0  54.0  1.00  1.00  0.10  200 quiet
  3.90  4.10 1.50  0.50  1.00  1.00  0.25  0.50 102.0  72.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  1.00  1.00  0.25  0.50 102.0  90.0  1.00  1.00  0.10  200 quiet
  4.30  4.30 1.50  0.50  1.00  1.00  0.25  0.50 102.0 108.0  1.00  1.00  0.10  200 quiet
  3.60  4.10 1.50  0.50  1.00  1.00  0.25  0.50 102.0 126.0  1.00  1.00  0.10  200 quiet
  3.70  4.60 1.50  0.50  1.00  1.00  0.25  0.50 102.0 144.0  1.00  1.00  0.10  200 quiet
  4.70  4.90 1.50  0.50  1.00  1.00  0.25  0.50 102.0 162.0  1.00  1.00  0.10  200 quiet
  4.70  5.10 1.50  0.50  1.00  1.00  0.25  0.50 102.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.90  4.10 1.50  0.50  1.00  1.00  0.25  0.50  90.0   0.0  1.00  1.00  0.10  200 quiet
  3.10  4.00 1.50  0.50  1.00  1.00  0.25  0.50  90.0  18.0  1.00  1.00  0.10  200 quiet
  4.40  4.80 1.50  0.50  1.00  1.00  0.25  0.50  90.0  36.0  1.00  1.00  0.10  200 quiet
  3.60  4.20 1.50  0.50  1.00  1.00  0.25  0.50  90.0  54.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  1.00  1.00  0.25  0.50  90.0  72.0  1.00  1.00  0.10  200 quiet
  4.00  4.40 1.50  0.50  1.00  1.00  0.25  0.50  90.0  90.0  1.00  1.00  0.10  200 quiet
  3.70  4.10 1.50  0.50  1.00  1.00  0.25  0.50  90.0 108.0  1.00  1.00  0.10  200 quiet
  3.60  4.20 1.50  0.50  1.00  1.00  0.25  0.50  90.0 126.0  1.00  1.00  0.10  200 quiet
  4.10  4.70 1.50  0.50  1.00  1.00  0.25  0.50  90.0 144.0  1.00  1.00  0.10  200 quiet
  4.10  4.80 1.50  0.50  1.00  1.00  0.25  0.50  90.0 162.0  1.00  1.00  0.10  200 quiet
  3.70  4.80 1.50  0.50  1.00  1.00  0.25  0.50  90.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.00  4.40 1.50  0.50  1.00  1.00  0.25  0.50  78.0   0.0  1.00  1.00  0.10  200 quiet
  3.60  4.40 1.50  0.50  1.00  1.00  0.25  0.50  78.0  18.0  1.00  1.00  0.10  200 quiet
  3.80  4.20 1.50  0.50  1.00  1.00  0.25  0.50  78.0  36.0  1.00  1.00  0.10  200 quiet
  3.80  4.10 1.50  0.50  1.00  1.00  0.25  0.50  78.0  54.0  1.00  1.00  0.10  200 quiet
  3.80  4.00 1.50  0.50  1.00  1.00  0.25  0.50  78.0  72.0  1.00  1.00  0.10  200 quiet
  3.60  3.80 1.50  0.50  1.00  1.00  0.25  0.50  78.0  90.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  1.00  1.00  0.25  0.50  78.0 108.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  1.00  1.00  0.25  0.50  78.0 126.0  1.00  1.00  0.10  200 quiet
  3.30  4.00 1.50  0.50  1.00  1.00  0.25  0.50  78.0 144.0  1.00  1.00  0.10  200 quiet
  3.70  4.40 1.50  0.50  1.00  1.00  0.25  0.50  78.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.60 1.50  0.50  1.00  1.00  0.25  0.50  78.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.50  4.00 1.50  0.50  1.00  1.00  0.25  0.50  66.0   0.0  1.00  1.00  0.10  200 quiet
  3.50  3.90 1.50  0.50  1.00  1.00  0.25  0.50  66.0  18.0  1.00  1.00  0.10  200 quiet
  3.40  4.20 1.50  0.50  1.00  1.00  0.25  0.50  66.0  36.0  1.00  1.00  0.10  200 quiet
  3.50  4.10 1.50  0.50  1.00  1.00  0.25  0.50  66.0  54.0  1.00  1.00  0.10  200 quiet
  3.50  4.20 1.50  0.50  1.00  1.00  0.25  0.50  66.0  72.0  1.00  1.00  0.10  200 quiet
  3.80  4.20 1.50  0.50  1.00  1.00  0.25  0.50  66.0  90.0  1.00  1.00  0.10  200 quiet
  3.30  4.10 1.50  0.50  1.00  1.00  0.25  0.50  66.0 108.0  1.00  1.00  0.10  200 quiet
  2.90  3.90 1.50  0.50  1.00  1.00  0.25  0.50  66.0 126.0  1.00  1.00  0.10  200 quiet
  3.80  4.00 1.50  0.50  1.00  1.00  0.25  0.50  66.0 144.0  1.00  1.00  0.10  200 quiet
  3.70  4.40 1.50  0.50  1.00  1.00  0.25  0.50  66.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.40 1.50  0.50  1.00  1.00  0.25  0.50  66.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.10  4.00 1.50  0.50  1.00  1.00  0.25  0.50  53.0   0.0  1.00  1.00  0.10  200 quiet
  3.50  3.90 1.50  0.50  1.00  1.00  0.25  0.50  53.0  18.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  1.00  1.00  0.25  0.50  53.0  36.0  1.00  1.00  0.10  200 quiet
  3.80  4.10 1.50  0.50  1.00  1.00  0.25  0.50  53.0  54.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.50  0.50  1.00  1.00  0.25  0.50  53.0  72.0  1.00  1.00  0.10  200 quiet
  3.00  4.10 1.50  0.50  1.00  1.00  0.25  0.50  53.0  90.0  1.00  1.00  0.10  200 quiet
  3.10  4.00 1.50  0.50  1.00  1.00  0.25  0.50  53.0 108.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.50  0.50  1.00  1.00  0.25  0.50  53.0 126.0  1.00  1.00  0.10  200 quiet
  3.50  4.20 1.50  0.50  1.00  1.00  0.25  0.50  53.0 144.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  1.00  1.00  0.25  0.50  53.0 162.0  1.00  1.00  0.10  200 quiet
  3.90  4.30 1.50  0.50  1.00  1.00  0.25  0.50  53.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.70  3.90 1.50  0.50  1.00  1.00  0.25  0.50  37.0   0.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  1.00  1.00  0.25  0.50  37.0  18.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  1.00  1.00  0.25  0.50  37.0  36.0  1.00  1.00  0.10  200 quiet
  3.80  4.30 1.50  0.50  1.00  1.00  0.25  0.50  37.0  54.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  1.00  1.00  0.25  0.50  37.0  72.0  1.00  1.00  0.10  200 quiet
  3.80  4.10 1.50  0.50  1.00  1.00  0.25  0.50  37.0  90.0  1.00  1.00  0.10  200 quiet
  3.70  4.30 1.50  0.50  1.00  1.00  0.25  0.50  37.0 108.0  1.00  1.00  0.10  200 quiet
  3.50  4.20 1.50  0.50  1.00  1.00  0.25  0.50  37.0 126.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  1.00  1.00  0.25  0.50  37.0 144.0  1.00  1.00  0.10  200 quiet
  3.60  4.20 1.50  0.50  1.00  1.00  0.25  0.50  37.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  1.00  1.00  0.25  0.50  37.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.60  3.90 1.50  0.50  1.00  1.00  0.25  0.50   0.0   0.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  1.00  1.00  0.25  0.50   0.0  18.0  1.00  1.00  0.10  200 quiet
  3.30  4.20 1.50  0.50  1.00  1.00  0.25  0.50   0.0  36.0  1.00  1.00  0.10  200 quiet
  4.10  4.40 1.50  0.50  1.00  1.00  0.25  0.50   0.0  54.0  1.00  1.00  0.10  200 quiet
  4.30  4.30 1.50  0.50  1.00  1.00  0.25  0.50   0.0  72.0  1.00  1.00  0.10  200 quiet
  3.90  4.20 1.50  0.50  1.00  1.00  0.25  0.50   0.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  4.10 1.50  0.50  1.00  1.00  0.25  0.50   0.0 108.0  1.00  1.00  0.10  200 quiet
  4.30  4.30 1.50  0.50  1.00  1.00  0.25  0.50   0.0 126.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  1.00  1.00  0.25  0.50   0.0 144.0  1.00  1.00  0.10  200 quiet
  3.90  4.20 1.50  0.50  1.00  1.00  0.25  0.50   0.0 162.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  1.00  1.00  0.25  0.50   0.0 180.0  1.00  1.00  0.10  200 quiet
